#HeroicDeath Data Log - This file stores serialized data on player deaths in the following order:
#Victim|Killer|Murder Weapon|Cause of Death|Location|Timestamp|Death Message
#Murder weapon is in the format TypeIDxData, so Red Wool would be 35x14
#Location is in the format (x, y, z), and represents where the victim died.
Hobby203|||FALL|world (-390.0,77.0,328.0)|10/21/2011 17:00:42 BST|Hobby203 fell to their death
bmpullano|||LAVA|world (-480.0,59.0,170.0)|10/21/2011 20:19:08 BST|bmpullano was killed by lava
th3ant|||FIRE|world (-191.0,69.0,-564.0)|10/21/2011 23:10:20 BST|th3ant burned to death
RadonGaming|||FALL|world (22.0,62.0,-66.0)|10/21/2011 23:38:34 BST|RadonGaming took a leap of faith
RadonGaming|||FALL|world (-6.0,63.0,-368.0)|10/21/2011 23:39:05 BST|RadonGaming fell to their death
RadonGaming|Hobby203|276x0|ENTITY_ATTACK|world (89.0,72.0,-420.0)|10/21/2011 23:49:02 BST|Hobby203 killed RadonGaming wielding diamond sword
RadonGaming|Hobby203|276x2|ENTITY_ATTACK|world (87.0,77.0,-388.0)|10/21/2011 23:50:45 BST|Hobby203 killed RadonGaming wielding diamond sword
Abrahamarmite|||SUICIDE|world (-79.0,55.0,-396.0)|10/22/2011 12:26:35 BST|Abrahamarmite committed suicide.
nicfaces|||VOID|world (1000.0,-161.0,-123.0)|10/23/2011 19:28:25 BST|nicfaces fell into the Gap
Hobby203|||FALL|world (197.0,70.0,54.0)|10/24/2011 17:21:28 BST|Hobby203 fell to their death
Abrahamarmite|||VOID|world (935.0,-158.0,-42.0)|10/24/2011 20:47:23 BST|Abrahamarmite fell into the Gap
Abrahamarmite|Hobby203|76x0|ENTITY_ATTACK|world (166.0,49.0,166.0)|10/25/2011 16:54:06 BST|Hobby203 killed Abrahamarmite wielding redstone torch
Abrahamarmite|||LAVA|world (158.0,46.0,159.0)|10/25/2011 16:54:44 BST|Abrahamarmite was killed by lava
Abrahamarmite|||FIRE|world (165.0,48.0,163.0)|10/25/2011 16:55:03 BST|Abrahamarmite burned to death
Abrahamarmite|||FALL|world (1026.0,45.0,-143.0)|10/25/2011 16:55:34 BST|Abrahamarmite took a leap of faith
Abrahamarmite|||DROWNING|world (-15.0,56.0,-376.0)|10/25/2011 16:56:24 BST|Abrahamarmite took a long walk off a short pier
Abrahamarmite|||SUFFOCATION|world (38.0,47.0,-131.0)|10/25/2011 16:57:27 BST|Abrahamarmite suffocated
Abrahamarmite|Creeper||ENTITY_EXPLOSION|world (555.0,66.0,-232.0)|10/25/2011 17:15:28 BST|Abrahamarmite hugged a creeper
Abrahamarmite|||FALL|world (169.0,45.0,161.0)|10/25/2011 17:19:15 BST|Abrahamarmite took a leap of faith
Abrahamarmite|||FIRE_TICK|world (159.0,46.0,156.0)|10/25/2011 17:20:29 BST|Abrahamarmite burned to death
Abrahamarmite|||SUFFOCATION|world_nether (40.0,61.0,21.0)|10/25/2011 17:22:57 BST|Abrahamarmite suffocated
Abrahamarmite|Enderman||ENTITY_ATTACK|world (856.0,71.0,-358.0)|10/25/2011 17:27:05 BST|Abrahamarmite was killed by an angry Enderman
Abrahamarmite|||SUFFOCATION|world_nether (41.0,54.0,22.0)|10/25/2011 17:28:04 BST|Abrahamarmite suffocated
Abrahamarmite|||FIRE|world_nether (40.0,64.0,19.0)|10/25/2011 17:30:17 BST|Abrahamarmite forgot how to stop, drop and roll
Abrahamarmite|||FIRE|world_nether (40.0,65.0,21.0)|10/25/2011 17:30:31 BST|Abrahamarmite burned to death
Hobby203|||FALL|rescue (233.0,38.0,334.0)|10/26/2011 13:26:54 BST|Hobby203 fell to their death
th3ant|||ENTITY_EXPLOSION|rescue (137.0,105.0,139.0)|10/26/2011 22:43:18 BST|th3ant exploded
Hobby203|||ENTITY_EXPLOSION|rescue (133.0,108.0,115.0)|10/26/2011 22:44:31 BST|Hobby203 exploded
th3ant|||FALL|rescue (126.0,73.0,64.0)|10/26/2011 22:50:43 BST|th3ant took a leap of faith
th3ant|Zombie||ENTITY_ATTACK|world_hoth (98.0,46.0,94.0)|10/27/2011 17:52:36 BST|th3ant was killed by an angry Zombie
Hobby203|||FALL|world_hoth (136.0,67.0,453.0)|10/27/2011 19:09:43 BST|Hobby203 took a leap of faith
Abrahamarmite|||FALL|world_hoth (352.0,71.0,326.0)|10/27/2011 20:57:48 BST|Abrahamarmite fell to their death
th3ant|Zombie||ENTITY_ATTACK|world_hoth (-287.0,22.0,-178.0)|10/27/2011 21:42:01 BST|th3ant was killed by an angry Zombie
th3ant|Zombie||ENTITY_ATTACK|world_hoth (-364.0,13.0,-181.0)|10/27/2011 21:48:56 BST|th3ant was killed by an angry Zombie
Hobby203|Zombie||ENTITY_ATTACK|world_hoth (134.0,72.0,191.0)|10/28/2011 13:10:31 BST|Hobby203 was killed by an angry Zombie
Omnomnoms|||SUICIDE|world_hoth (158.0,29.0,141.0)|10/29/2011 17:14:58 BST|Omnomnoms committed suicide.
th3ant|||FALL|world_hoth (330.0,63.0,259.0)|10/30/2011 19:29:22 GMT|th3ant took a leap of faith
th3ant|||VOID|world_hoth (327.0,-183.0,283.0)|10/30/2011 19:43:39 GMT|th3ant fell into the Gap
hampster900|||SUICIDE|world_hoth (-66.0,63.0,81.0)|10/31/2011 18:40:03 GMT|hampster900 committed suicide.
Abrahamarmite|||LAVA|world_hoth (1207.0,61.0,-1923.0)|11/01/2011 17:24:13 GMT|Abrahamarmite was killed by lava
Abrahamarmite|||DROWNING|world_hoth (165.0,55.0,165.0)|11/01/2011 17:25:33 GMT|Abrahamarmite drowned
Jamandbread|||FALL|world_hoth (-6.0,97.0,129.0)|11/01/2011 20:08:44 GMT|Jamandbread took a leap of faith
Hobby203|||FALL|world_hoth (122.0,76.0,185.0)|11/02/2011 17:22:01 GMT|Hobby203 fell to their death
hampster900|||FALL|world_hoth (-18.0,64.0,169.0)|11/02/2011 21:04:18 GMT|hampster900 fell to their death
Abrahamarmite|||FIRE_TICK|world_hoth (1099.0,42.0,-1909.0)|11/03/2011 17:39:03 GMT|Abrahamarmite forgot how to stop, drop and roll
Abrahamarmite|||FALL|world_hoth (1092.0,64.0,-1926.0)|11/03/2011 17:39:14 GMT|Abrahamarmite took a leap of faith
Abrahamarmite|||FALL|world_hoth (31.0,69.0,169.0)|11/03/2011 17:50:13 GMT|Abrahamarmite fell to their death
hampster900|||FALL|world_hoth (126.0,75.0,177.0)|11/03/2011 17:51:02 GMT|hampster900 fell to their death
Omnomnoms|||LAVA|world_hoth (30.0,62.0,213.0)|11/04/2011 17:29:16 GMT|Omnomnoms took a bath in a lake of fire
Abrahamarmite|Hobby203|283x2|ENTITY_ATTACK|world_hoth (235.0,63.0,-66.0)|11/04/2011 20:34:34 GMT|Hobby203 killed Abrahamarmite wielding gold sword
Abrahamarmite|||FALL|world_hoth (199.0,83.0,-26.0)|11/04/2011 20:35:13 GMT|Abrahamarmite fell to their death
